"Links","Title","Description","Store.Name","Pseudo","Store.Addresse","Date","Nb.Floor","Nb.Room","Nb.Views","ID.Offer","Price","District","Specifics","Area","Price.value","Price.unit","Price.desc","Price.value.dzd","Price.rules","Announcer.Name","Announcer.Type","Hour","Month","Municipality","Garage","Garden","Furnished","Promise","New.Project","Payment","Top_Municipalities","Store.Municipality","commune.names","lon","lat","type","loctype","address","north","south","east","west","locality","locality.1","administrative_area_level_1","country","political","Store.lon","Store.lat"
"https://www.ouedkniss.com/vente-appartement-f2-alger-belouizdad-algerie-immobilier-d16427845","Vente Appartement F2 Alger Belouizdad",NA,NA,"youyayouya",NA,2018-07-26,NA,"2",119,16427845,"860 Millions Négociable","belcourt","Electricité ,  Gaz ,  Eau ,  Acte notarié ,  Livret foncier",48,860,"Millions","Négociable",8600000,"Price.value * 10000","youyayouya","PARTICULIER","19","Jul","HAMMA ANASSERS",FALSE,FALSE,FALSE,FALSE,FALSE,"comptant","Other",NA,"Algiers, HAMMA ANASSERS",3.0587561,36.753768,"locality","approximate","algiers, sidi m'hamed, algeria",36.7587844,36.7488675,3.0616236,3.0540584,"Algiers","Sidi M'Hamed","Algiers Province","Algeria",NA,NA,NA
"https://www.ouedkniss.com/vente-appartement-f2-alger-birtouta-algerie-immobilier-d16340043","Vente Appartement F2 Alger Birtouta","J'ai une grande,propre et top f2 très bien fini refait à neuf, meublé (cuisine et salle de bain équipée et aménager,wc, grand salon, belle chambre, balcon, interphone, parking fermé, propre immeuble, très bon voisinage, trois voisins par palier, deux façades trop ensoleillées à proximité primaires, cem, lycées, marchés, mosquées, ....etc voir les photos et n'hésitez pas de me contacter et merci.
",NA,"F123kniss",NA,2018-07-26,3,"2",NA,16340043,"1 Millions Négociable","Centre ville","Electricité ,  Gaz ,  Eau ,  Meublé",70,1,"Millions","Négociable",1e+07,"Price.value * 10000000","F123kniss","PARTICULIER","19","Jul","BIRTOUTA",FALSE,FALSE,TRUE,FALSE,FALSE,"comptant","Other",NA,"Algiers, BIRTOUTA",3.0476046,36.6460945,"locality","approximate","birtouta, algeria",36.6685737,36.6163543,3.0718803,2.94734,"Birtouta",NA,"Algiers Province","Algeria",NA,NA,NA
"https://www.ouedkniss.com/vente-appartement-f2-alger-dar-el-beida-algerie-immobilier-d16600827","Vente Appartement F2 Alger Dar el beida","F2 à dar el beida  çite fatma nsoumer . 4eme étage 65 m2. Promotion FNPOS. . C étatique. 
Opportunité  à saisir. 
Vente urgent  
La procédure  de vente  . Promesse de vente + procuration  générale.  ",NA,"megatrain21",NA,2018-07-26,4,"2",33,16600827,"7 Millions Négociable","Fatma nsoumer","Electricité ,  Gaz ,  Eau ,  Promotion immobilière ,  Promesse de vente possible",65,7,"Millions","Négociable",7e+07,"Price.value * 10000000","megatrain21","PARTICULIER","19","Jul","DAR EL BEIDA",FALSE,FALSE,FALSE,TRUE,TRUE,"comptant","Other",NA,"Algiers, DAR EL BEIDA",3.2281983,36.7060145,"locality","approximate","dar el beïda, algeria",36.7390131,36.6658716,3.2598066,3.1635476,"Dar El Beïda",NA,"Algiers Province","Algeria",NA,NA,NA
"https://www.ouedkniss.com/vente-appartement-f2-alger-gue-de-constantine-algerie-immobilier-d16512113","Vente Appartement F2 Alger Gue de constantine","J’ai un f 2 a la cité hayet 1 ère étage refait à neuf très moderne acte notarié libre de suite très bon voisinage cité très calme toute commodité à côté le prix après visite j accepte l’échange contre un local du 150 m2 ou plus merci.",NA,"kikoum",NA,2018-07-26,1,"2",381,16512113,"900 Millions Offert","Cité hayet","Electricité ,  Gaz ,  Eau ,  Acte notarié",42,900,"Millions","Offert",9e+06,"Price.value * 10000","kikoum","PARTICULIER","21","Jul","DJISR KSENTINA",FALSE,FALSE,FALSE,FALSE,FALSE,"comptant","DJISR KSENTINA",NA,"Algiers, DJISR KSENTINA",3.079263,36.6978776,"locality","approximate","djasr kasentina, algeria",36.7137744,36.6717751,3.1147742,3.0424404,"Djasr Kasentina",NA,"Algiers Province","Algeria",NA,NA,NA
"https://www.ouedkniss.com/vente-appartement-f3-alger-bab-ezzouar-algerie-immobilier-d16603790","Vente Appartement F3 Alger Bab ezzouar","MS/approximiter de l'hotel mercure en vend un tres beau appartement  refait avec des matériaux de lux   ","MS.Immobilier",NA,"Alger Bab ezzouar bab ezzouar",2018-07-26,4,"3",9,16603790,"2.4 Milliards Négociable","1200 LOGTS","Acte notarié ,  Livret foncier",97,2.4,"Milliards","Négociable",2.4e+07,"Price.value *10000000","MS.Immobilier","BUREAU D'AFFAIRE","22","Jul","BEB EZZOUAR",FALSE,FALSE,FALSE,FALSE,FALSE,"comptant","BEB EZZOUAR","BEB EZZOUAR","Algiers, BEB EZZOUAR",3.1854975,36.7206251,"locality","approximate","bab ezzouar, algeria",36.7417385,36.7039263,3.2062268,3.1666482,"Bab Ezzouar",NA,"Algiers Province","Algeria",NA,3.1854975,36.7206251
"https://www.ouedkniss.com/vente-appartement-f3-alger-baraki-algerie-immobilier-d16600079","Vente Appartement F3 Alger Baraki","ÇáÓáÇã Úáíßã ááÈíÚ ÔÞÉ Ý3 ØÇÈÞ ÇáËÇáË ÝíåÇ ÛÑÝÊíä æÕÇáÉ æãØÈÎ æÍãÇã Ýí Íí åÇÏÆ Íí 500ãÓßä 13åßÊÇÑ ÝíåÇ ßá ãÊØáÈÇÊ ÇáÍíÇÉ ÞÑíÈÉ ÞÑíÈÉ ãä ÇáãÓÌÏ æ ÓæÞ æ ãä ÇáãæÕáÇÊ æãä ÇáãÏÑÓÉ ãÊæÝÑÉ Úáì ÇáÛÇÒ æ ÇáãÇÁ æ ÇáåÇÊÝ æÇáÅäÊÑäÊ
ÇáÓÚÑ 750ÛíÑ ÞÇÈá ááÊÝÇæÖ
ÇáÃæÑÇÞ ãÝÊÇÍ",NA,"sidaeli1230",NA,2018-07-26,3,"3",39,16600079,"750 Millions Fixe","13 åßÊÇÑ",NA,70,750,"Millions","Fixe",7500000,"Price.value * 10000","sidaeli1230","PARTICULIER","16","Jul","BARAKI",NA,NA,NA,NA,NA,NA,"Other",NA,"Algiers, BARAKI",3.0985796,36.6672951,"locality","approximate","baraki, algeria",36.7046919,36.6355555,3.131125,3.065958,"Baraki",NA,"Algiers Province","Algeria",NA,NA,NA
"https://www.ouedkniss.com/vente-appartement-f3-alger-bir-mourad-rais-algerie-immobilier-d16602760","Vente Appartement F3 Alger Bir mourad rais","vend F3 100m² dans une promantion avec axenceur +box","APISERVCES",NA,"Alger El madania 27A, Rue Amar Boudlel, El-Madania- Alger",2018-07-26,2,"3",15,16602760,"2.8 Milliards Négociable","les sources","Electricité ,  Gaz ,  Eau",100,2.8,"Milliards","Négociable",2.8e+07,"Price.value *10000000","APISERVCES","BUREAU D'AFFAIRE","19","Jul","BIR MOURAD RAIS",FALSE,FALSE,FALSE,FALSE,FALSE,"comptant","Other","EL MADANIA","Algiers, BIR MOURAD RAIS",3.0503737,36.7353493,"locality","approximate","bir mourad raïs, algeria",36.7407928,36.7197517,3.0644989,3.0220127,"Bir Mourad Raïs",NA,"Algiers Province","Algeria",NA,3.0688896,36.7411788
"https://www.ouedkniss.com/vente-appartement-f3-alger-bir-mourad-rais-algerie-immobilier-d16602876","Vente Appartement F3 Alger Bir mourad rais","vend F3 dans une promantion avec ascenceur+box","APISERVCES",NA,"Alger El madania 27A, Rue Amar Boudlel, El-Madania- Alger",2018-07-26,3,"3",17,16602876,"4.6 Milliards Négociable","la cadat",NA,136,4.6,"Milliards","Négociable",4.6e+07,"Price.value *10000000","APISERVCES","BUREAU D'AFFAIRE","20","Jul","BIR MOURAD RAIS",NA,NA,NA,NA,NA,NA,"Other","EL MADANIA","Algiers, BIR MOURAD RAIS",3.0503737,36.7353493,"locality","approximate","bir mourad raïs, algeria",36.7407928,36.7197517,3.0644989,3.0220127,"Bir Mourad Raïs",NA,"Algiers Province","Algeria",NA,3.0688896,36.7411788
"https://www.ouedkniss.com/vente-appartement-f3-alger-bir-mourad-rais-algerie-immobilier-d16602975","Vente Appartement F3 Alger Bir mourad rais",NA,"APISERVCES",NA,"Alger El madania 27A, Rue Amar Boudlel, El-Madania- Alger",2018-07-26,3,"3",19,16602975,"2.2 Milliards Négociable","les vergeres","Electricité ,  Gaz ,  Eau",68,2.2,"Milliards","Négociable",2.2e+07,"Price.value *10000000","APISERVCES","BUREAU D'AFFAIRE","20","Jul","BIR MOURAD RAIS",FALSE,FALSE,FALSE,FALSE,FALSE,"comptant","Other","EL MADANIA","Algiers, BIR MOURAD RAIS",3.0503737,36.7353493,"locality","approximate","bir mourad raïs, algeria",36.7407928,36.7197517,3.0644989,3.0220127,"Bir Mourad Raïs",NA,"Algiers Province","Algeria",NA,3.0688896,36.7411788
"https://www.ouedkniss.com/vente-appartement-f3-alger-birkhadem-algerie-immobilier-d16602956","Vente Appartement F3 Alger Birkhadem",NA,"APISERVCES",NA,"Alger El madania 27A, Rue Amar Boudlel, El-Madania- Alger",2018-07-26,NA,"3",19,16602956,"2.1 Milliards Négociable","Résidance rahma","Electricité ,  Gaz ,  Eau",88,2.1,"Milliards","Négociable",2.1e+07,"Price.value *10000000","APISERVCES","BUREAU D'AFFAIRE","20","Jul","BIR KHADEM",FALSE,FALSE,FALSE,FALSE,FALSE,"comptant","BIR KHADEM","EL MADANIA","Algiers, BIR KHADEM",3.0425977,36.7162726,"locality","approximate","birkhadem, algeria",36.7335146,36.6957629,3.0736561,3.0236329,"Birkhadem",NA,"Algiers Province","Algeria",NA,3.0688896,36.7411788
